编号,场景,文案,图片url,音频url,视频url,用户id
11001,1B,因为在B站看了组合的「卡祖笛测评」对刘恋和她的声带产生浓厚兴趣，后续听了不少组合的歌和翻唱，看到她要上浪三，于是才打开了这季综艺。这样算起来，是第五个生日了诶……,,,,我的猫儿黄白身子金镶玉
11002,1B,乐夏1就对这个穿红色格子裙安安静静坐在男人居多的乐手席里的姐姐有印象，入坑是浪3，正好是我高三毕业那一年的夏天，世界和刘恋一起出现在我面前，我都无法拒绝。今年是第四年了，连我自己也惊讶于我竟然还在为刘恋这个名字感到幸福。,,,,初霁之阳
11003,1B,一公雾里 “活的像位神明”和后边的那段高音，特别有舞台表现力的一段！ 已经是一起过的第四个生日了！,,,,吃吃吃宵夜_
11004,1B,好巧啊，偏偏那段时间我在打游戏，然后一个叫三个王者带一个青铜的视频就出现在了首页，虽然没有点进去但命运般地留下了印象。然后就是刷到浪三初舞台，是我理想的一种表演形式。最后是绿光，很让人眼前blingbling的进步。第四个生日了，在努力离永恒近一些。,,,,划
11005,1B,浪三一公选歌！好聪慧但命苦的军师ww 已经第五个生日哩,,,,不署名的爱意
11006,1B,刘恋被淘汰的时候对PD说：你能夸夸我吗。不知道啊，听完心软的一塌糊涂了我就入坑了。这是我陪刘恋度过的第4个生日！但很可惜，一场生日专场都没看过，我的错，我大错特错！,,,,温开水
11007,1B,我心里的刘恋是：是站在光与阴影的交界处 不同阶段 场合拼接成的刘恋 舞台上的 录音室的 在家创作时的 以前在学校时的…… 众多碎片构成了“刘恋”,,,,0_Yuzz
11008,1B,我心里的刘恋是：会是舞台上第一束聚光灯打下来那一刻，她埋在光影里的侧脸,,,,我的猫儿黄白身子金镶玉
11009,1B,我心里的刘恋是：,content/image0085.png,,,Salute
11010,1B,我心里的刘恋是：舞台上的恋是雨后的一抹晚霞,,,,
11011,1B,我心里的刘恋是：一个长得像吐舌小熊猫的棱镜，能将普通的光拆成绚丽的彩虹碎片。人们因你的耀眼而被吸引，一旦靠近就会发现更令人心动的真实、灵动和柔软。,,,,人鱼
11012,1B,我心里的刘恋是：会软乎乎的很温柔的讲话，很容易就会被感动的眼眶通红飙泪的小熊猫,,,,Yuanlizhinv_lian
